qt_1ipv7riftd,qt_fl5xf47dtd,qt_mjj7cc8dtd,Lego_Geocoding_LatLong
"תקוע, תקוע, תקוע, ישראל",טיפות חלב,טיפות חלב תקוע,"31.639093,35.21249"
"תעשיון מיתרים, תעשיון מיתרים, אזור תעסוקה מיתרים 1, ישראל",מרכולים,מחסני השוק מיתרים,"31.046051,34.851612"
"תמרת, תמרת, תמרת, ישראל",טיפות חלב,טיפות חלב תמרת,"32.703801,35.225489"
"תלמים, ד.נ. לכיש דרום, תלמים, ישראל",טיפות חלב,טיפות חלב תלמים,"31.563416,34.671998"
"תל שבע, תל שבע,  0, ישראל",מרפאות,כללית תל שבע,"31.245073,34.860382"
"תל שבע, תל שבע,  0, ישראל",מרפאות,כללית מרכז בריאות הילד והנוער - תל שבע,"31.245073,34.860382"
"תל שבע, שכונה 2-  901, תל שבע, ישראל",טיפות חלב,טיפות חלב תל שבע,"31.244327,34.854247"
"תל שבע,  תל שבע, ישראל",סניפי דואר,דואר ישראל תל שבע,"31.245073,34.860382"
"תל עדשים, תל עדשים, תל עדשים, ישראל",טיפות חלב,טיפות חלב תל עדשים,"32.657358,35.302478"
"תל מונד, תל מונד, הדקל 49, ישראל",מרכולים,שופרסל שופרסל שלי תל מונד,"32.253591,34.91799"
"תל מונד, השקד 4, תל מונד, ישראל",טיפות חלב,טיפות חלב תל מונד מכבי,"32.25775,34.918616"
"תל מונד, הדקל 50 תל מונד, ישראל",סניפי דואר,דואר ישראל יחידה מרכזית תל מונד,"32.252793,34.918776"
"תל מונד, הדקל  52, תל מונד, ישראל",בנקים,לאומי תל מונד,"32.253256,34.918404"
"תל מונד, הדקל  52, תל מונד, ישראל",כספומטים,לאומי תל מונד,"32.253256,34.918404"
"תל מונד, הדקל  52, תל מונד, ישראל",בנקים,לאומי פרדסיה,"32.253256,34.918404"
"תל יוסף, מצדה, תל יוסף, ישראל",טיפות חלב,טיפות חלב תל יוסף,"32.556704,35.398914"
"תל אביב -יפו, תל אביב -יפו, קרמניצקי 3, ישראל",מרכולים,אושר עד אושר עד,"32.067043,34.793672"
"תל אביב -יפו, תל אביב -יפו, קבוץ גלויות 106, ישראל",מרכולים,סופר ברקת סופר ברקת קיבוץ גלויות,"32.047751,34.777445"
"תל אביב -יפו, תל אביב -יפו, צה""ל 71, ישראל",מרכולים,שופרסל שופרסל שלי,"32.121756,34.834896"
"תל אביב -יפו, תל אביב -יפו, פנקס 48, ישראל",מרכולים,קרפור קרפור פנקס,"32.090803,34.789013"
"תל אביב -יפו, תל אביב -יפו, עזה 23, ישראל",מרכולים,קינג סטור יום ביום משהדאוי,"32.047234,34.759583"
"תל אביב -יפו, תל אביב -יפו, ניסים אלוני 10, ישראל",מרכולים,קרפור קרפור צמרות,"32.088923,34.797294"
"תל אביב -יפו, תל אביב -יפו, נחלת יצחק 20, ישראל",מרכולים,"יוחננוף יוחננוף נחלת יצחק ת""א","32.074035,34.798095"
"תל אביב -יפו, תל אביב -יפו, מרכוס דוד 13, ישראל",מרכולים,קרפור קרפור,"32.114261,34.835705"
"תל אביב -יפו, תל אביב -יפו, מבוא גרופית 2, ישראל",מרכולים,"קרפור קרפור ת""א","32.120563,34.828832"
"תל אביב -יפו, תל אביב -יפו, לה גארדיה 76, ישראל",מרכולים,קרפור קרפור יד אליהו,"32.058894,34.80096"
"תל אביב -יפו, תל אביב -יפו, ויצמן 53, ישראל",מרכולים,ויקטורי סיטי ויצמן,"32.0849,34.789103"
"תל אביב -יפו, תל אביב -יפו, ויצמן 14, ישראל",מרכולים,שופרסל שופרסל שלי איכילוב,"32.08094,34.78985"
"תל אביב -יפו, תל אביב -יפו, דרך בן צבי 112, ישראל",מרכולים,יוחננוף יוחננוף בן צבי,"32.039046,34.776883"
"תל אביב -יפו, תל אביב -יפו, דיזנגוף 65, ישראל",מרכולים,קרפור קרפור לב דיזנגוף,"32.075903,34.774569"
"תל אביב -יפו, תל אביב -יפו, דבורה הנביאה 127, ישראל",מרכולים,רמי לוי רמי לוי,"32.113094,34.842503"
"תל אביב -יפו, תל אביב -יפו, דבורה הנביאה 126, ישראל",מרכולים,רמי לוי רמי לוי,"32.114313,34.842966"
"תל אביב -יפו, תל אביב -יפו, דבורה הנביאה 122, ישראל",מרכולים,טיב טעם טיב טעם,"32.113967,34.841221"
"תל אביב -יפו, תל אביב -יפו, ברזיל 15, ישראל",מרכולים,שופרסל שופרסל שלי,"32.111738,34.796323"
"תל אביב -יפו, תל אביב -יפו, בקר אהרון 8, ישראל",מרכולים,"קרפור קרפור ת""א","32.122799,34.816295"
"תל אביב -יפו, תל אביב -יפו, בן יהודה 79, ישראל",מרכולים,שופרסל שופרסל שלי בן יהודה,"32.08131,34.7704"
"תל אביב -יפו, תל אביב -יפו, ארלוזורוב 53, ישראל",מרכולים,שופרסל שופרסל שלי ארלוזורוב,"32.086053,34.778775"
"תל אביב -יפו, תל אביב -יפו, אלון יגאל 76, ישראל",מרכולים,שופרסל שופרסל דיל,"32.065346,34.793176"
"תל אביב -יפו, תל אביב -יפו, אלון יגאל 57, ישראל",מרכולים,יוחננוף יוחננוף יד אליהו,"32.063324,34.791889"
"תל אביב -יפו, תל אביב -יפו, אלון יגאל 3, ישראל",מרכולים,מירב מזון אושר עד,"32.054328,34.791455"
"תל אביב -יפו, תל אביב -יפו, אחימאיר אבא 35, ישראל",מרכולים,קרפור קרפור,"32.124771,34.804507"
"תל אביב -יפו, תל אביב -יפו, אורי 12, ישראל",מרכולים,קרפור קרפור מגדלי דוד,"32.081473,34.785442"
"תל אביב -יפו, תל אביב -יפו, אופנהיימר 13, ישראל",מרכולים,קרפור קרפור אופנהיימר,"32.120296,34.799788"
"תל אביב -יפו, תל אביב - יפו, שפרינצק 15, ישראל",מרפאות,מאוחדת תל אביב-שפרינצק,"32.071769,34.783726"
"תל אביב -יפו, תל אביב - יפו, התקומה 36, ישראל",מרפאות,מכבי מר.רפואי יפו-מנהלת,"32.052259,34.759967"
"תל אביב -יפו, תל אביב - יפו, השל""ה 7, ישראל",מרפאות,"מכבי מר.רפואי השל""ה-מנהלת","32.090628,34.779143"
"תל אביב -יפו, תל אביב - יפו, דימונה 8, ישראל",מרפאות,לאומית יד אליהו,"32.055923,34.798804"
"תל אביב -יפו, תל אביב - יפו, בלפור 10, ישראל",מרפאות,מכבי מר.רפואי בלפור-מנהלת,"32.067914,34.772735"
"תל אביב -יפו, שולמן 3, תל אביב -יפו, ישראל",טיפות חלב,טיפות חלב י' - ביצרון,"32.068679,34.797193"
"תל אביב -יפו, שדרות רוטשילד  76, תל אביב -יפו, ישראל",כספומטים,דיסקונט שדרות רוטשילד,"32.065163,34.777103"
"תל אביב -יפו, שדרות רוטשילד  76, תל אביב -יפו, ישראל",בנקים,דיסקונט שדרות רוטשילד,"32.065163,34.777103"
"תל אביב -יפו, שדרות רוטשילד  50, תל אביב -יפו, ישראל",בנקים,הפועלים מרכז מזומנים,"32.063961,34.775244"
"תל אביב -יפו, שדרות רוטשילד  42, תל אביב -יפו, ישראל",בנקים,הבינלאומי יובנק - תל אביב (ראשי),"32.063504,34.774295"
"תל אביב -יפו, שדרות הר ציון  106, תל אביב -יפו, ישראל",בנקים,לאומי מרכז קופות תל אביב,"32.051303,34.77383"
"תל אביב -יפו, שדרות הר ציון  106, תל אביב -יפו, ישראל",כספומטים,לאומי מרכז קופות תל אביב,"32.051303,34.77383"
"תל אביב -יפו, שד' רוטשילד  50, תל אביב -יפו, ישראל",בנקים,הפועלים הנהלה ראשית,"32.063961,34.775244"
"תל אביב -יפו, שד' רוטשילד  46, תל אביב -יפו, ישראל",בנקים,הפועלים בנקאות פלטינום,"32.063769,34.77469"
"תל אביב -יפו, שד' רוטשילד  42, תל אביב -יפו, ישראל",כספומטים,הבינלאומי תל אביב ראשי,"32.063504,34.774295"
"תל אביב -יפו, שד' רוטשילד  42, תל אביב -יפו, ישראל",בנקים,הבינלאומי תל אביב ראשי,"32.063504,34.774295"
"תל אביב -יפו, שד' רוטשילד  42, תל אביב -יפו, ישראל",בנקים,הבינלאומי רוטשילד,"32.063504,34.774295"
"תל אביב -יפו, שד' רוטשילד  38, תל אביב -יפו, ישראל",כספומטים,מסד תל אביב,"32.063381,34.773691"
"תל אביב -יפו, שד' רוטשילד  38, תל אביב -יפו, ישראל",בנקים,מסד תל אביב,"32.063381,34.773691"
