qt_d1sbqsiftd,qt_e1sbqsiftd,qt_3iyhzvnitd,qt_xd6evd8dtd
1700-504-121,"תחנה ניידת, בית שמש",משרד הבריאות,טיפות חלב 🔴
09-99721300,"סוקולוב 10, הרצלייה",מכבי,טיפות חלב 🔴
09-98605252,"נתניה, שד בנימין 21",מכבי,מרפאות 🟠
09-9756200,"משכית  35, הרצלייה",הבינלאומי,בנקים 🔵
09-9735500,"הנדיב 71, הרצלייה",כללית,טיפות חלב 🔴
09-9715255,"שד' אבא אבן  10, הרצלייה",הפועלים,בנקים 🔵
09-9713200,"צמרות  2, הרצלייה",הבינלאומי,בנקים 🔵
09-9705800,"היורה 3, הרצלייה",כללית,טיפות חלב 🔴
09-9609200,"משכית  35, הרצלייה",הבינלאומי,בנקים 🔵
09-9598590,"שד' חן  4, הרצלייה",הפועלים,בנקים 🔵
09-9598246,"החורש  2, כפר שמריהו",הפועלים,בנקים 🔵
09-8973227,"שרת  6, כפר יונה",הפועלים,בנקים 🔵
09-8971168,"הרצל 13, כפר יונה",משרד הבריאות,טיפות חלב 🔴
09-8970227,"המעלית פינת רח' הזרם  6, קדימה-צורן",הפועלים,בנקים 🔵
09-8947205,"דרך לב השרון צורן 41, קדימה-צורן",כללית,טיפות חלב 🔴
09-8915222,"אסותא 2, אבן יהודה",כללית,טיפות חלב 🔴
09-8902222,"כפר יונה, הרצל 11",כללית,מרפאות 🟠
09-8873774,"הרב אונטרמן יהודה 7, נתניה",משרד הבריאות,טיפות חלב 🔴
09-8868260,"שדרות רחבעם 1, קרני שומרון",מכבי,טיפות חלב 🔴
09-8868200,"רפפורט 3, כפר סבא",מכבי,טיפות חלב 🔴
09-8867201,"המנופים   15, הרצלייה",הפועלים,בנקים 🔵
09-8824926,"יוספטל 29, נתניה",משרד הבריאות,טיפות חלב 🔴
09-8821922,"שד לנטוס טום 26, נתניה",כללית,טיפות חלב 🔴
09-8787300,"קלנסווה, בלאל 0",כללית,מרפאות 🟠
09-8782138,"בת חפר, בת חפר",כללית,טיפות חלב 🔴
09-8780387,"קלנסווה, קלנסווה",משרד הבריאות,טיפות חלב 🔴
09-8780271,"קלנסווה, קלנסווה",משרד הבריאות,טיפות חלב 🔴
09-8743303,"ימה-זמר, זמר",משרד הבריאות,טיפות חלב 🔴
09-8661506,"משמר השרון, משמר השרון",כללית,טיפות חלב 🔴
09-8652035,"בן אליעזר 57, נתניה",משרד הבריאות,טיפות חלב 🔴
09-8648800,"נתניה, ירמיהו 38",כללית,מרפאות 🟠
09-8640302,"המנופים   15, הרצלייה",הפועלים,בנקים 🔵
09-8640218,"המלאכה  45, נתניה",הפועלים,בנקים 🔵
09-8635222,"נתניה, אברהם קריניצי 2",כללית,מרפאות 🟠
09-8631040,"נתן יונתן  10, נתניה",הפועלים,בנקים 🔵
09-8610904,"איכילוב 8, נתניה",משרד הבריאות,טיפות חלב 🔴
09-8607222,"נתניה, שטמפפר 17",לאומית,מרפאות 🟠
09-8604898,"הרצל  32, נתניה",הפועלים,בנקים 🔵
09-8603800,"נתניה, בארי 42",כללית,מרפאות 🟠
09-8603700,"נתניה, פרופסור ברודצקי 31",כללית,מרפאות 🟠
09-8602023,"ככר העצמאות  11, נתניה",הפועלים,בנקים 🔵
09-8601333,"נתניה, סמילנסקי 20",מאוחדת,מרפאות 🟠
09-8359939,"שד גולדה מאיר 6, נתניה",משרד הבריאות,טיפות חלב 🔴
09-8356928,"רותם 129, נתניה",משרד הבריאות,טיפות חלב 🔴
09-8354334,"קריניצי 2, נתניה",משרד הבריאות,טיפות חלב 🔴
09-8344477,"הרצוג 14, נתניה",משרד הבריאות,טיפות חלב 🔴
09-8322714,"דרך דגניה 92, נתניה",משרד הבריאות,טיפות חלב 🔴
09-8315500,"קדימה-צורן, קדימה-צורן",כללית,טיפות חלב 🔴
09-8304200,"רמז  14, נתניה",מסד,בנקים 🔵
09-8300200,"הרצל  5, נתניה",הבינלאומי,בנקים 🔵
09-7994741,"טייבה, מרכז אלטפל 0",כללית,מרפאות 🟠
09-7993062,"טייבה, טייבה",משרד הבריאות,טיפות חלב 🔴
09-7991971,"טייבה, טייבה",משרד הבריאות,טיפות חלב 🔴
09-7991003,"טייבה, טייבה",משרד הבריאות,טיפות חלב 🔴
09-7949200,"מרכז מסחרי לב הישוב, אלפי מנשה",מכבי,טיפות חלב 🔴
09-7946555,"נתניה, שדרות טום לנטוס 26",כללית,מרפאות 🟠
09-7946500,"כפר סבא, רפפורט 3",כללית,מרפאות 🟠
09-7940200,"קרני שומרון, הקוממיות 1",לאומית,מרפאות 🟠
09-7934600,"כוכב יאיר, בזלת 7",כללית,מרפאות 🟠
09-7931200,"טירה, טירה",כללית,טיפות חלב 🔴
09-7921535,"כיכר הרמב""""ם, עמנואל",כללית,טיפות חלב 🔴
09-7920135,"האלון 9, קרני שומרון",כללית,טיפות חלב 🔴
09-7909300,"המוביל 20, טירה",מכבי,טיפות חלב 🔴
09-7904300,"מרכז ספיר, כוכב יאיר",מכבי,טיפות חלב 🔴
09-7796030,"מרכז אלטפל, טייבה",כללית,טיפות חלב 🔴
09-7784200,"רפפורט  1, כפר סבא",הבינלאומי,בנקים 🔵
09-7774600,"השקד 4, תל מונד",מכבי,טיפות חלב 🔴
09-7760426,"התדהר  16, רעננה",הפועלים,בנקים 🔵
09-7757228,"טארק עבד אל חי  1, טירה",הפועלים,בנקים 🔵
09-7754227,"שהין סנטר  75, טייבה",הפועלים,בנקים 🔵
09-7752200,"אחוזה  124, רעננה",הבינלאומי,בנקים 🔵
09-7707111,"הנוטרים 7, רעננה",כללית,טיפות חלב 🔴
09-7656101,"יחזקאל 12, כפר סבא",כללית,טיפות חלב 🔴
09-7651265,"בן גוריון 43, כפר סבא",כללית,טיפות חלב 🔴
09-7648580,"ויצמן  102, כפר סבא",הפועלים,בנקים 🔵
09-7646600,"הוד השרון, ז'בוטינסקי 3",כללית,מרפאות 🟠
09-7645353,"בקעת בית הנטופה  25, כפר סבא",הפועלים,בנקים 🔵
09-7643200,"רוטשילד  56, כפר סבא",הבינלאומי,בנקים 🔵
09-7641222,"כפר סבא, המייסדים 20",מאוחדת,מרפאות 🟠
09-7634000,"כפר סבא, בן גוריון 43",כללית,מרפאות 🟠
09-7630600,"כפר סבא, יחזקאל 12",כללית,מרפאות 🟠
09-7624600,"חנקין 14, הוד השרון",כללית,טיפות חלב 🔴
09-7624200,"התע""ש  14, כפר סבא",מסד,בנקים 🔵
09-7620600,"הרשות 8, הוד השרון",כללית,טיפות חלב 🔴
09-7619606,"בן גמלא יהושע 25 א, הוד השרון",מאוחדת,טיפות חלב 🔴
09-7615222,"אחוזה  96, רעננה",מזרחי,בנקים 🔵
09-7614200,"רמתיים  94, הוד השרון",הבינלאומי,בנקים 🔵
09-7523800,"קיבוץ שפיים, שפיים",כללית,טיפות חלב 🔴
09-7499800,"שד הדקלים צור יגאל , כוכב יאיר",כללית,טיפות חלב 🔴
09-7484634,"ד.נ חוף השרון, חרוצים",כללית,טיפות חלב 🔴
09-7482230,"רפפורט 3, כפר סבא",מאוחדת,טיפות חלב 🔴
09-7478181,"הבנים 14, הוד השרון",מכבי,טיפות חלב 🔴
09-7477979,"יפה אליעזר 8, רעננה",כללית,טיפות חלב 🔴
09-7477979,"רעננה, אליעזר יפה 8",כללית,מרפאות 🟠
09-7476580,"אחוזה  112, רעננה",הפועלים,בנקים 🔵
09-7475949,"דרך רמתיים  69, הוד השרון",הפועלים,בנקים 🔵
09-7474509,"קיבוץ רמת הכובש, רמת הכובש",כללית,טיפות חלב 🔴
09-7470777,"אחוזה 124, רעננה",מכבי,טיפות חלב 🔴
09-7470240,"הוד השרון, סוקולוב 46",כללית,מרפאות 🟠
09-7423420,"בית יתיר, כפר סבא",מאוחדת,טיפות חלב 🔴
08-9989252,"צאלים, צאלים",כללית,טיפות חלב 🔴
08-9982590,"מושב עין הבשור, עין הבשור",מכבי,טיפות חלב 🔴
08-9971393,"ערד, שאול המלך 24",כללית,מרפאות 🟠
08-9970656,"חן  32, ערד",הפועלים,בנקים 🔵
08-9953217,"ערערה-בנגב, ערערה-בנגב",משרד הבריאות,טיפות חלב 🔴
08-9950989,"שאול המלך 24, ערד",משרד הבריאות,טיפות חלב 🔴
08-9939927,"בעלי המלאכה, צים סנטר  5, נתיבות",הפועלים,בנקים 🔵
08-9931213,"הרב צבאן, נתיבות",משרד הבריאות,טיפות חלב 🔴
08-9929294,"שד' הרצל  11, אופקים",הפועלים,בנקים 🔵
08-9922621,"מרכז נטע, אופקים",משרד הבריאות,טיפות חלב 🔴
08-9918334,"שכונה 17, רהט",משרד הבריאות,טיפות חלב 🔴
08-9918129,"ד.נ. הנגב, שומרייה",כללית,טיפות חלב 🔴
08-9915222,"ד.נ הנגב, בית קמה",כללית,טיפות חלב 🔴
08-9910613,"שכונה 8, רהט",משרד הבריאות,טיפות חלב 🔴
08-9908800,"באר שבע, שינדלר אוסקר 30",לאומית,מרפאות 🟠
08-9773131,"רמלה, שדרות דוד רזיאל 1",כללית,מרפאות 🟠
08-9773111,"רמלה, א. ס. לוי 13",כללית,מרפאות 🟠
08-9751553,"נחל צלמון 17, מודיעין-מכבים-רעות",משרד הבריאות,טיפות חלב 🔴
08-9743667,"רבי עקיבא 3, מודיעין עילית",מאוחדת,טיפות חלב 🔴
08-9740318,"מסילת יוסף 34, מודיעין עילית",כללית,טיפות חלב 🔴
08-9736200,"ערער  14, מודיעין-מכבים-רעות",הבינלאומי,בנקים 🔵
08-9735666,"עמק דותן 53, מודיעין-מכבים-רעות",מכבי,טיפות חלב 🔴
08-9735353,"דם המכבים  38, מודיעין-מכבים-רעות",הפועלים,בנקים 🔵
08-9735222,"מודיעין-מכבים-רעות, עמק בית שאן 30",לאומית,מרפאות 🟠
08-9730964,"מודיעין-מכבים-רעות, לאה אימנו 1",מאוחדת,מרפאות 🟠
08-9726782,"ד.נ שמשון, מבוא חורון",כללית,טיפות חלב 🔴
08-9583555,"לוד, האיילון 14",לאומית,מרפאות 🟠
08-9583330,"נתיבות השלום 16, קריית גת",כללית,טיפות חלב 🔴
08-9559222,"מצפה רמון, נחל גרופית 4",כללית,מרפאות 🟠
08-9524200,"עזרא  4, רחובות",הבינלאומי,בנקים 🔵
08-9523230,"האורגים  11, אשדוד",הפועלים,בנקים 🔵
08-9496412,"מרפאת מכבי בני נצרים, בני נצרים",מכבי,טיפות חלב 🔴
08-9474255,"יונתן נתניהו 9, רחובות",כללית,טיפות חלב 🔴
08-9459553,"פרשני אברהם 8, רחובות",משרד הבריאות,טיפות חלב 🔴
08-9451804,"מקוב בתיה 16, רחובות",משרד הבריאות,טיפות חלב 🔴
08-9445903,"הרצל  179, רחובות",הפועלים,בנקים 🔵
08-9442821,"קיבוץ מען, נען",כללית,טיפות חלב 🔴
08-9437528,"הדקל 6, יבנה",כללית,טיפות חלב 🔴
08-9436565,"הרב אבוחצירא 1, יבנה",כללית,טיפות חלב 🔴
08-9425240,"שד' דואני  46, יבנה",הפועלים,בנקים 🔵
