qt_p9hh25phtd,qt_xs4phvphtd,qt_ys4phvphtd,qt_h8phm6rhtd,qt_oldnq6rhtd
1700-504-121  tel:1700504121,"תחנה ניידת, בית שמש, ישראל",משרד הבריאות טיפת חלב ניידת מחוז ירושלים,טיפות חלב,5
09-99721300  tel:0999721300,"סוקולוב 10, הרצלייה, ישראל",מכבי הרצליה מכבי,טיפות חלב,5
09-98605252  tel:0998605252,"נתניה, שד בנימין 21, ישראל",מכבי מר.רפואי נתניה-מנהלת,מרפאות,2
09-9756200  tel:099756200,"משכית  35, הרצלייה, ישראל",הבינלאומי מרכז עסקים שרון,בנקים,6
09-9735500  tel:099735500,"הנדיב 71, הרצלייה, ישראל",כללית הנדיב,טיפות חלב,5
09-9715255  tel:099715255,"שד' אבא אבן  10, הרצלייה, ישראל",הפועלים הגלים,בנקים,6
09-9713200  tel:099713200,"צמרות  2, הרצלייה, ישראל",הבינלאומי צמרות,בנקים,6
09-9705800  tel:099705800,"היורה 3, הרצלייה, ישראל",כללית נווה עמל,טיפות חלב,5
09-9609200  tel:099609200,"משכית  35, הרצלייה, ישראל",הבינלאומי הרצליה פתוח,בנקים,6
09-9598590  tel:099598590,"שד' חן  4, הרצלייה, ישראל",הפועלים הרצליה,בנקים,6
09-9598246  tel:099598246,"החורש  2, כפר שמריהו, ישראל",הפועלים כפר שמריהו,בנקים,6
09-8973227  tel:098973227,"שרת  6, כפר יונה, ישראל",הפועלים כפר יונה,בנקים,6
09-8971168  tel:098971168,"הרצל 13, כפר יונה, ישראל",משרד הבריאות כפר יונה,טיפות חלב,5
09-8970227  tel:098970227,"המעלית פינת רח' הזרם  6, קדימה-צורן, ישראל",הפועלים קדימה,בנקים,6
09-8947205  tel:098947205,"דרך לב השרון צורן 41, קדימה-צורן, ישראל",כללית צורן,טיפות חלב,5
09-8915222  tel:098915222,"אסותא 2, אבן יהודה, ישראל",כללית אבן יהודה כללית,טיפות חלב,5
09-8902222  tel:098902222,"כפר יונה, הרצל 11, ישראל",כללית כפר יונה,מרפאות,2
